region_id;annee;nb_places;cout_place;cah
1;2015;505.0;0;0
1;2016;487.0;0;0
1;2017;484.0;0;0
1;2018;484.0;0;0
1;2019;410.0;465740;18518.0
1;2020;411.0;0;0
2;2015;887.0;0;0
2;2016;858.0;0;0
2;2017;871.0;0;0
2;2018;750.0;0;0
2;2019;770.0;465740;18518.0
2;2020;735.0;0;0
3;2015;2336.0;0;0
3;2016;2317.0;0;0
3;2017;2271.0;0;0
3;2018;2571.0;0;0
3;2019;2571.0;465740;18518.0
3;2020;2568.0;0;0
4;2015;1023.0;0;0
4;2016;1023.0;0;0
4;2017;1022.0;0;0
4;2018;1070.0;0;0
4;2019;971.0;465740;18518.0
4;2020;969.0;0;0
5;2015;929.0;0;0
5;2016;994.0;0;0
5;2017;918.0;0;0
5;2018;916.0;0;0
5;2019;912.0;465740;18518.0
5;2020;910.0;0;0
6;2015;7322.0;0;0
6;2016;5804.0;0;0
6;2017;6555.0;0;0
6;2018;6700.0;0;0
6;2019;6938.0;465740;18518.0
6;2020;6900.0;0;0
7;2015;717.0;0;0
7;2016;654.0;0;0
7;2017;663.0;0;0
7;2018;651.0;0;0
7;2019;601.0;465740;18518.0
7;2020;616.0;0;0
8;2015;392.0;0;0
8;2016;365.0;0;0
8;2017;386.0;0;0
8;2018;388.0;0;0
8;2019;388.0;465740;18518.0
8;2020;373.0;0;0
9;2015;230.0;0;0
9;2016;205.0;0;0
9;2017;223.0;0;0
9;2018;186.0;0;0
9;2019;177.0;465740;18518.0
9;2020;449.0;0;0
10;2015;31.0;0;0
10;2016;31.0;0;0
10;2017;31.0;0;0
10;2018;31.0;0;0
10;2019;31.0;465740;18518.0
10;2020;31.0;0;0
11;2015;296.0;0;0
11;2016;255.0;0;0
11;2017;236.0;0;0
11;2018;236.0;0;0
11;2019;236.0;465740;18518.0
11;2020;236.0;0;0
12;2015;534.0;0;0
12;2016;536.0;0;0
12;2017;586.0;0;0
12;2018;581.0;0;0
12;2019;567.0;465740;18518.0
12;2020;661.0;0;0
13;2015;533.0;0;0
13;2016;533.0;0;0
13;2017;533.0;0;0
13;2018;533.0;0;0
13;2019;531.0;465740;18518.0
13;2020;802.0;0;0
14;2015;549.0;0;0
14;2016;535.0;0;0
14;2017;533.0;0;0
14;2018;560.0;0;0
14;2019;560.0;465740;18518.0
14;2020;565.0;0;0
15;2015;1003.0;0;0
15;2016;885.0;0;0
15;2017;907.0;0;0
15;2018;908.0;0;0
15;2019;925.0;465740;18518.0
15;2020;866.0;0;0
16;2015;2068.0;0;0
16;2016;1920.0;0;0
16;2017;1942.0;0;0
16;2018;1968.0;0;0
16;2019;2110.0;465740;18518.0
16;2020;2134.0;0;0
17;2015;44.0;0;0
17;2016;42.0;0;0
17;2017;42.0;0;0
17;2018;17.0;0;0
17;2019;54.0;465740;18518.0
17;2020;32.0;0;0
18;2015;0.0;0;0
18;2016;0.0;0;0
18;2017;0.0;0;0
18;2018;0.0;0;0
18;2019;0.0;465740;18518.0
18;2020;0.0;0;0